'Borough','Pickup_Zone','trip_count','avg_duration_min'
'Brooklyn','Columbia Street',17436,18.010954347327370328
'Queens','Jamaica Estates',50828,16.838848666089556438
'Bronx','Bronx Park',15648,19.901904396728017587
'Manhattan','Roosevelt Island',19646,23.891988190980351092
'Queens','Queensboro Hill',42418,23.590480456410012344
'Queens','Laurelton',61747,15.780863847636322105
'Brooklyn','Manhattan Beach',37735,15.843407976679475979
'Staten Island','Bloomfield/Emerson Hill',46416,16.703765942778354691
'Bronx','Bronxdale',100726,15.685155769116216895
'Brooklyn','Marine Park/Floyd Bennett Field',3598,21.713451917732071727
'Bronx','Pelham Bay Park',7961,15.802914206757945336
'Bronx','Crotona Park',5848,15.787790697674419782
'Queens','Broad Channel',1592,18.129396984924621705
'Bronx','Rikers Island',15,24.599999999999999644
'Staten Island','Great Kills Park',63,18.174603174603173982
'Manhattan','Lenox Hill West',369254,15.862614893812930105
'Manhattan','UN/Turtle Bay South',248941,16.732647494787922681
'Brooklyn','Downtown Brooklyn/MetroTech',151326,19.604198881884144611
'Queens','Long Island City/Queens Plaza',88236,18.958338999954666093
'Bronx','Melrose South',175700,16.606977803073419863
'Unknown','NV',887462,35.743389576117059469
'Brooklyn','Williamsburg (South Side)',259563,18.475279604566136271
'Queens','Elmhurst/Maspeth',66595,15.589368571214055059
'EWR','Newark Airport',1972,33.864604462474643398
'Queens','Flushing',153299,32.91738367504028595
'Brooklyn','Starrett City',48659,17.536509176103085572
'Bronx','Longwood',89396,16.327609736453531752
'Brooklyn','Bushwick North',257089,17.965342741229690659
'Manhattan','Marble Hill',40968,14.231107205623900746
'Brooklyn','Prospect Park',20788,19.567779488166248569
'Queens','College Point',45617,30.297827564285246815
'Brooklyn','Coney Island',91813,20.362377876771260432
'Brooklyn','East New York',424810,16.49145264941974176
'Queens','Hammels/Arverne',60146,23.324477105709440216
'Brooklyn','East Flatbush/Farragut',174205,17.290244252461182128
'Staten Island','Great Kills',19833,17.30212272475167623
'Queens','Oakland Gardens',21147,17.549345060765119796
'Brooklyn','East New York/Pennsylvania Avenue',126280,17.498226164079824229
'Brooklyn','Dyker Heights',53901,16.761266024749077452
'Brooklyn','Homecrest',103090,15.43709380153264199
'Manhattan','Highbridge Park',3563,15.906820095425202588
'Queens','Auburndale',27380,16.395398100803508789
'Brooklyn','Bay Ridge',177334,17.37857940383682731
'Queens','Forest Park/Highland Park',5044,18.013481363996827866
'Queens','Breezy Point/Fort Tilden/Riis Beach',3282,29.833028641072516506
'Staten Island','New Dorp/Midland Beach',18331,17.311166875784191887
'Queens','LaGuardia Airport',446096,29.985379828557082504
'Queens','JFK Airport',518933,37.105730412211208602
'Manhattan','Union Sq',463665,17.049660854280568322
'Manhattan','Upper East Side South',510543,14.604932395508312126
'Manhattan','Lincoln Square East',371643,16.545846417126113259
'Manhattan','Yorkville West',311599,16.059605454446259642
'Brooklyn','Prospect-Lefferts Gardens',292193,18.513369587909362934
'Manhattan','Central Harlem',277418,16.95169022918484103
'Brooklyn','DUMBO/Vinegar Hill',109229,18.752629796116416116
'Brooklyn','Williamsburg (North Side)',287947,19.475646559957215941
'Brooklyn','Greenpoint',245113,18.081933638770689043
'Queens','Queensbridge/Ravenswood',54857,18.345972255136082651
'Queens','Astoria',334413,16.488856593493674829
'Manhattan','Lower East Side',331811,17.509844459647208481
'Manhattan','Bloomingdale',73275,17.322674854998294513
'Brooklyn','Fort Greene',227473,18.500349492027623909
'Brooklyn','Sunset Park East',79236,18.554886667676310452
'Bronx','East Concourse/Concourse Village',204852,16.04862534903247262
'Brooklyn','Crown Heights North',536107,17.799528825402390452
'Queens','Maspeth',86141,15.851534112675729204
'Queens','Corona',121113,15.854672908771147987
'Bronx','Country Club',10361,15.975581507576488426
'Bronx','Co-Op City',133845,16.749396690201350246
'Brooklyn','Canarsie',295959,16.356255427272021307
'Brooklyn','Erasmus',122428,17.887754435259908269
'Bronx','Van Cortlandt Village',147042,15.519783463228193909
'Manhattan','Randalls Island',4668,22.017994858611826813
'Manhattan','Inwood Hill Park',8947,17.002682463395551337
'Queens','Kew Gardens Hills',55931,17.538055818776707717
'Bronx','Soundview/Castle Hill',202161,15.448365411726296514
'Brooklyn','Crown Heights South',138845,18.269156253376067411
'Brooklyn','Cypress Hills',121774,17.012293264572075912
'Bronx','Woodlawn/Wakefield',112116,15.573370437760891249
'Brooklyn','Bensonhurst West',115360,16.471567267683773216
'Queens','East Flushing',35664,25.942659264244056771
'Queens','Hollis',41159,17.056318180713816445
